Date,High,Low
2007-01-01,62,39
2007-01-02,62,44
2007-01-03,62,42
2007-01-04,57,45
2007-01-05,54,44
2007-01-06,55,36
2007-01-07,62,45
2007-01-08,66,48
2007-01-09,63,39
2007-01-10,57,37
2007-01-11,50,37
2007-01-12,48,35
2007-01-13,48,30
2007-01-14,48,28
2007-01-15,53,28
2007-01-16,50,30
2007-01-17,57,37
2007-01-18,61,33
2007-01-19,55,35
2007-01-20,61,35
2007-01-21,64,43
2007-01-22,61,36
2007-01-23,57,35
2007-01-24,60,35
2007-01-25,55,39
2007-01-26,54,44
2007-01-27,57,48
2007-01-28,59,45
2007-01-29,63,45
2007-01-30,59,41
2007-01-31,55,48
2007-02-01,53,46
2007-02-02,55,44
2007-02-03,59,37
2007-02-04,66,39
2007-02-05,64,43
2007-02-06,61,46
2007-02-07,61,51
2007-02-08,60,51
2007-02-09,61,55
2007-02-10,62,55
2007-02-11,61,46
2007-02-12,59,43
2007-02-13,57,46
2007-02-14,61,39
2007-02-15,64,44
2007-02-16,71,46
2007-02-17,73,51
2007-02-18,60,46
2007-02-19,63,44
2007-02-20,57,45
2007-02-21,59,48
2007-02-22,55,44
2007-02-23,55,42
2007-02-24,57,39
2007-02-25,55,48
2007-02-26,57,44
2007-02-27,53,39
2007-02-28,53,37
2007-03-01,54,37
2007-03-02,61,39
2007-03-03,66,43
2007-03-04,70,48
2007-03-05,68,53
2007-03-06,69,46
2007-03-07,62,51
2007-03-08,61,46
2007-03-09,60,45
2007-03-10,68,46
2007-03-11,79,48
2007-03-12,80,52
2007-03-13,73,53
2007-03-14,64,48
2007-03-15,78,46
2007-03-16,78,50
2007-03-17,62,51
2007-03-18,66,46
2007-03-19,64,48
2007-03-20,60,48
2007-03-21,66,46
2007-03-22,73,43
2007-03-23,78,48
2007-03-24,68,48
2007-03-25,64,53
2007-03-26,66,48
2007-03-27,57,46
2007-03-28,66,42
2007-03-29,73,42
2007-03-30,72,46
2007-03-31,69,46
2007-04-01,64,46
2007-04-02,69,46
2007-04-03,71,46
2007-04-04,69,50
2007-04-05,71,52
2007-04-06,64,52
2007-04-07,68,51
2007-04-08,71,51
2007-04-09,66,50
2007-04-10,72,46
2007-04-11,63,50
2007-04-12,64,46
2007-04-13,70,44
2007-04-14,57,51
2007-04-15,68,46
2007-04-16,75,46
2007-04-17,62,48
2007-04-18,61,45
2007-04-19,57,42
2007-04-20,64,46
2007-04-21,61,43
2007-04-22,63,48
2007-04-23,70,44
2007-04-24,66,46
2007-04-25,66,48
2007-04-26,69,48
2007-04-27,82,50
2007-04-28,81,55
2007-04-29,70,53
2007-04-30,77,51
2007-05-01,70,48
2007-05-02,66,52
2007-05-03,63,48
2007-05-04,64,51
2007-05-05,73,46
2007-05-06,88,54
2007-05-07,91,57
2007-05-08,84,60
2007-05-09,73,55
2007-05-10,57,52
2007-05-11,64,51
2007-05-12,64,50
2007-05-13,72,46
2007-05-14,66,50
2007-05-15,63,51
2007-05-16,70,48
2007-05-17,68,50
2007-05-18,73,50
2007-05-19,70,52
2007-05-20,73,51
2007-05-21,78,54
2007-05-22,81,51
2007-05-23,86,55
2007-05-24,78,55
2007-05-25,69,54
2007-05-26,69,55
2007-05-27,69,54
2007-05-28,73,52
2007-05-29,69,53
2007-05-30,66,55
2007-05-31,64,54
2007-06-01,66,54
2007-06-02,64,54
2007-06-03,70,55
2007-06-04,73,59
2007-06-05,68,55
2007-06-06,70,53
2007-06-07,75,51
2007-06-08,70,50
2007-06-09,75,53
2007-06-10,75,55
2007-06-11,75,53
2007-06-12,79,52
2007-06-13,90,59
2007-06-14,89,60
2007-06-15,86,59
2007-06-16,72,55
2007-06-17,79,53
2007-06-18,79,57
2007-06-19,73,55
2007-06-20,71,55
2007-06-21,77,55
2007-06-22,79,54
2007-06-23,77,54
2007-06-24,77,53
2007-06-25,82,53
2007-06-26,71,54
2007-06-27,73,55
2007-06-28,73,57
2007-06-29,77,60
2007-06-30,75,54
2007-07-01,78,54
2007-07-02,82,57
2007-07-03,72,57
2007-07-04,84,59
2007-07-05,84,61
2007-07-06,75,60
2007-07-07,73,55
2007-07-08,78,55
2007-07-09,73,57
2007-07-10,73,59
2007-07-11,78,62
2007-07-12,75,59
2007-07-13,79,60
2007-07-14,73,60
2007-07-15,78,62
2007-07-16,75,59
2007-07-17,77,60
2007-07-18,75,63
2007-07-19,80,59
2007-07-20,79,59
2007-07-21,77,61
2007-07-22,75,63
2007-07-23,79,64
2007-07-24,73,61
2007-07-25,72,57
2007-07-26,75,60
2007-07-27,78,60
2007-07-28,77,57
2007-07-29,73,57
2007-07-30,80,59
2007-07-31,75,59
2007-08-01,75,59
2007-08-02,73,60
2007-08-03,79,60
2007-08-04,77,59
2007-08-05,71,57
2007-08-06,71,59
2007-08-07,73,57
2007-08-08,71,55
2007-08-09,77,60
2007-08-10,77,57
2007-08-11,73,57
2007-08-12,72,55
2007-08-13,75,55
2007-08-14,73,55
2007-08-15,75,57
2007-08-16,79,60
2007-08-17,80,55
2007-08-18,78,57
2007-08-19,77,55
2007-08-20,80,64
2007-08-21,82,62
2007-08-22,82,60
2007-08-23,82,57
2007-08-24,78,59
2007-08-25,73,61
2007-08-26,73,61
2007-08-27,78,59
2007-08-28,86,62
2007-08-29,88,68
2007-08-30,90,68
2007-08-31,80,66
2007-09-01,87,62
2007-09-02,89,61
2007-09-03,78,61
2007-09-04,78,63
2007-09-05,89,57
2007-09-06,82,64
2007-09-07,75,61
2007-09-08,73,62
2007-09-09,71,61
2007-09-10,73,59
2007-09-11,71,59
2007-09-12,72,60
2007-09-13,77,57
2007-09-14,75,60
2007-09-15,73,57
2007-09-16,72,61
2007-09-17,72,55
2007-09-18,73,55
2007-09-19,66,55
2007-09-20,71,52
2007-09-21,77,57
2007-09-22,64,57
2007-09-23,68,55
2007-09-24,78,52
2007-09-25,84,53
2007-09-26,87,57
2007-09-27,75,55
2007-09-28,66,54
2007-09-29,73,52
2007-09-30,75,48
2007-10-01,71,57
2007-10-02,81,53
2007-10-03,73,54
2007-10-04,69,55
2007-10-05,64,50
2007-10-06,73,45
2007-10-07,77,46
2007-10-08,79,53
2007-10-09,72,53
2007-10-10,69,54
2007-10-11,70,48
2007-10-12,64,54
2007-10-13,70,53
2007-10-14,66,51
2007-10-15,68,52
2007-10-16,66,52
2007-10-17,66,50
2007-10-18,73,50
2007-10-19,72,57
2007-10-20,66,54
2007-10-21,73,51
2007-10-22,81,51
2007-10-23,84,53
2007-10-24,79,55
2007-10-25,66,53
2007-10-26,68,46
2007-10-27,66,52
2007-10-28,75,52
2007-10-29,63,55
2007-10-30,63,53
2007-10-31,63,54
2007-11-01,66,53
2007-11-02,77,50
2007-11-03,80,48
2007-11-04,77,48
2007-11-05,66,48
2007-11-06,62,52
2007-11-07,61,48
2007-11-08,59,53
2007-11-09,63,48
2007-11-10,66,48
2007-11-11,63,48
2007-11-12,68,44
2007-11-13,72,51
2007-11-14,75,55
2007-11-15,69,51
2007-11-16,63,55
2007-11-17,66,51
2007-11-18,64,53
2007-11-19,66,48
2007-11-20,63,46
2007-11-21,64,43
2007-11-22,64,37
2007-11-23,70,37
2007-11-24,60,37
2007-11-25,60,46
2007-11-26,63,42
2007-11-27,63,45
2007-11-28,64,46
2007-11-29,62,41
2007-11-30,55,42
2007-12-01,57,37
2007-12-02,61,45
2007-12-03,66,50
2007-12-04,61,54
2007-12-05,60,50
2007-12-06,57,48
2007-12-07,55,45
2007-12-08,53,42
2007-12-09,57,39
2007-12-10,57,39
2007-12-11,57,41
2007-12-12,55,35
2007-12-13,59,34
2007-12-14,55,34
2007-12-15,55,39
2007-12-16,55,43
2007-12-17,57,48
2007-12-18,57,43
2007-12-19,59,41
2007-12-20,55,43
2007-12-21,53,39
2007-12-22,53,32
2007-12-23,55,37
2007-12-24,57,45
2007-12-25,57,37
2007-12-26,53,43
2007-12-27,48,37
2007-12-28,48,43
2007-12-29,57,44
2007-12-30,52,43
2007-12-31,57,42
